Asset_1,Asset_2,P_Value,Hedge_Ratio
5JS.SI,BEC.SI,0.01941,0.0403
BQD.SI,O10.SI,0.01941,0.1972
BQD.SI,BQM.SI,0.01978,0.2147
5E2.SI,Y92.SI,0.01989,-1.9763
5E2.SI,ER0.SI,0.01991,1.0707
BQD.SI,P40U.SI,0.02009,0.5519
53W.SI,S68.SI,0.02017,0.0184
F03.SI,S68.SI,0.02019,0.3176
BUOU.SI,V03.SI,0.02036,0.0397
G92.SI,L19.SI,0.02039,2.6992
E3B.SI,S20.SI,0.02041,1.1032
CRPU.SI,OXMU.SI,0.02041,1.0559
40T.SI,S68.SI,0.02043,-0.008
M14.SI,S08.SI,0.0208,-2.6922
BN2.SI,C38U.SI,0.02081,0.5373
5E2.SI,P52.SI,0.02088,0.3188
53W.SI,F03.SI,0.0209,0.054
P40U.SI,S68.SI,0.02096,0.0225
E3B.SI,T6I.SI,0.02096,0.6672
558.SI,QC7.SI,0.02096,1.665
5E2.SI,OYY.SI,0.02103,0.133
5E2.SI,CLN.SI,0.02112,0.5496
M14.SI,T82U.SI,0.02116,0.9927
C52.SI,H22.SI,0.02126,0.0567
41O.SI,AJBU.SI,0.02129,1.2373
53W.SI,E28.SI,0.02152,0.1395
S07.SI,U06.SI,0.02156,0.0635
E3B.SI,J36.SI,0.02161,0.0136
1MZ.SI,53W.SI,0.02167,3.4027
40T.SI,C52.SI,0.02175,-0.211
S07.SI,T6I.SI,0.02195,0.1591
AP4.SI,U96.SI,0.02198,-0.1313
BUOU.SI,C07.SI,0.02209,0.0197
BQD.SI,S69.SI,0.02211,1.5226
MXNU.SI,P15.SI,0.02234,0.4441
5E2.SI,BKA.SI,0.02279,0.7283
53W.SI,NS8U.SI,0.02281,1.1728
C52.SI,Z74.SI,0.02282,0.0721
